,date,artist,track,time,position
0,2000-02-26,2 Pac,Baby Don't Cry (Keep...,4:22,87
1,2000-09-02,2Ge+her,The Hardest Part Of ...,3:15,91
2,2000-04-08,3 Doors Down,Kryptonite,3:53,81
3,2000-10-21,3 Doors Down,Loser,4:24,76
4,2000-04-15,504 Boyz,Wobble Wobble,3:35,57
5,2000-08-19,98^0,Give Me Just One Nig...,3:24,51
6,2000-07-08,A*Teens,Dancing Queen,3:44,97
7,2000-01-29,Aaliyah,I Don't Wanna,4:15,84
8,2000-03-18,Aaliyah,Try Again,4:03,59
9,2000-08-26,"Adams, Yolanda",Open My Heart,5:30,76
10,2000-04-29,"Adkins, Trace",More,3:05,84
11,2000-08-05,"Aguilera, Christina",Come On Over Baby (A...,3:38,57
12,2000-04-15,"Aguilera, Christina",I Turn To You,4:00,50
13,1999-11-27,"Aguilera, Christina",What A Girl Wants,3:18,71
14,2000-04-08,Alice Deejay,Better Off Alone,6:50,79
15,2000-01-22,"Allan, Gary",Smoke Rings In The D...,4:18,80
16,1999-07-17,Amber,Sexual,4:38,99
17,2000-04-01,Anastacia,I'm Outta Love,4:01,92
18,2000-09-16,"Anthony, Marc",My Baby You,3:59,82
19,2000-02-26,"Anthony, Marc",You Sang To Me,3:50,77
20,2000-11-04,Avant,My First Love,4:28,70
21,2000-04-29,Avant,Separated,4:13,62
22,2000-04-29,BBMak,Back Here,3:35,99
23,2000-10-14,"Backstreet Boys, The",Shape Of My Heart,3:49,39
24,2000-01-01,"Backstreet Boys, The",Show Me The Meaning ...,3:54,74
25,2000-05-27,"Backstreet Boys, The",The One,3:46,58
26,2000-08-19,"Badu, Erkyah",Bag Lady,5:03,67
27,2000-07-22,Baha Men,Who Let The Dogs Out,3:17,99
28,2000-09-09,Barenaked Ladies,Pinch Me,3:46,77
29,2000-10-21,Beenie Man,Girls Dem Sugar,4:17,72
30,2000-05-20,Before Dark,Monica,4:04,95
31,2000-01-29,"Bega, Lou",Tricky Tricky ,3:23,75
32,2000-04-22,Big Punisher,It's So Hard,3:25,96
33,2000-03-04,Black Rob,Whoa!,4:04,78
34,2000-02-19,"Black, Clint",Been There,5:28,87
35,1999-10-23,Blaque,Bring It All To Me,3:46,73
36,1999-11-13,"Blige, Mary J.",Deep Inside,5:26,83
37,2000-04-15,"Blige, Mary J.",Give Me You,5:00,97
38,1999-12-04,Blink-182,All The Small Things,2:52,89
39,2000-03-18,Bloodhound Gang,The Bad Touch,4:20,70
40,2000-08-12,Bon Jovi,It's My Life,3:44,64
41,2000-03-18,"Braxton, Toni",He Wasn't Man Enough,4:21,63
42,2000-07-29,"Braxton, Toni",Just Be A Man About ...,4:10,76
43,2000-12-02,"Braxton, Toni",Spanish Guitar,4:24,98
44,2000-01-01,"Brock, Chad",A Country Boy Can Su...,3:54,93
45,2000-04-08,"Brock, Chad",Yes!,3:22,90
46,2000-06-10,Brooks & Dunn,You'll Always Be Lov...,2:58,95
47,2000-02-19,"Brooks, Garth",Do What You Gotta Do,2:56,86
48,2000-01-29,"Byrd, Tracy",Put Your Hand In Min...,4:30,81
49,2000-10-21,"Cagle, Chris",My Love Goes On And ...,3:02,99
50,2000-10-14,Cam'ron,What Means The World...,4:38,94
51,2000-06-24,"Carey, Mariah",Crybaby,5:19,28
52,1999-12-11,"Carey, Mariah",Thank God I Found Yo...,4:14,82
53,2000-08-26,"Carter, Aaron",Aaron's Party (Come ...,3:23,99
54,2000-06-24,"Carter, Torrey",Take That,3:43,94
55,2000-09-30,Changing Faces,That Other Woman,4:00,80
56,2000-10-21,"Chesney, Kenny",I Lost It,3:54,75
57,2000-04-01,"Chesney, Kenny",What I Need To Do,4:05,79
58,2000-11-18,Clark Family Experience,Meanwhile Back At Th...,2:56,87
59,2000-12-16,"Clark, Terri",A Little Gasoline,3:07,75
60,2000-08-05,Common,The Light,3:55,75
61,1999-11-06,Counting Crows,Hanginaround,4:07,84
62,1999-09-11,Creed,Higher,5:16,81
63,2000-05-13,Creed,With Arms Wide Open,3:52,84
64,2000-09-23,"Cyrus, Billy Ray",You Won't Be Lonely ...,3:45,97
65,1999-12-11,D'Angelo,Left & Right,4:35,93
66,2000-01-22,D'Angelo,Untitled (How Does I...,7:10,77
67,2000-02-26,DMX,Party Up (Up In Here...,3:45,88
68,2000-07-01,DMX,What You Want,4:05,98
69,2000-01-15,DMX,What's My Name,3:50,98
70,2000-02-26,Da Brat,That's What I'm Look...,3:44,93
71,2000-06-03,Da Brat,What'Chu Like,3:57,71
72,2000-03-25,"Davidson, Clay",Unconditional,3:56,97
73,2000-12-23,De La Soul,All Good?,5:02,96
74,2000-09-23,Destiny's Child,Independent Women Pa...,3:38,78
75,2000-05-13,Destiny's Child,Jumpin' Jumpin',3:48,74
76,1999-12-25,Destiny's Child,Say My Name,4:31,83
77,2000-08-12,"Diffie, Joe",It's Always Somethin...,2:55,81
78,2000-01-01,"Diffie, Joe",The Quittin' Kind,3:23,98
79,1999-11-13,"Dion, Celine",That's The Way It Is,4:03,74
80,2000-06-24,"Dixie Chicks, The",Cold Day In July,5:12,80
81,1999-11-27,"Dixie Chicks, The",Cowboy Take Me Away,4:51,79
82,2000-03-18,"Dixie Chicks, The",Goodbye Earl,4:19,40
83,2000-10-07,"Dixie Chicks, The",Without You,3:32,80
84,2000-01-22,Dr. Dre,Forgot About Dre,3:42,75
85,2000-05-27,Dr. Dre,The Next Episode,2:38,78
86,2000-02-12,Drama,"Left, Right, Left",3:37,100
87,2000-09-30,Dream,He Loves U Not,3:43,99
88,2000-01-08,"Eastsidaz, The",G'D Up,4:27,77
89,2000-07-01,"Eastsidaz, The",Got Beef,3:58,99
90,1999-12-11,Eiffel 65,Blue,3:29,67
91,1999-11-27,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,36
92,2000-11-04,Eminem,Stan,5:26,78
93,2000-05-06,Eminem,The Real Slim Shady,4:42,70
94,2000-08-26,Eminem,The Way I Am,4:40,87
95,2000-06-17,En Vogue,Riddle,5:10,92
96,2000-06-10,"Estefan, Gloria",No Me Dejes De Quere...,3:25,77
97,2000-10-21,"Evans, Sara",Born To Fly,5:36,77
98,2000-07-15,Eve,Got It All,3:48,89
99,2000-01-08,Eve,Love Is Blind,3:51,94
100,2000-07-08,Everclear,Wonderful,4:30,77
101,2000-06-10,"Fabian, Lara",I Will Love Again,3:43,91
102,1999-11-13,Fatboy Slim,The Rockafeller Skan...,4:00,94
103,1999-11-27,Filter,Take A Picture,4:23,91
104,1999-10-16,Foo Fighters,Learn To Fly,3:55,80
105,2000-10-28,Fragma,Toca's Miracle,3:22,99
106,2000-11-11,Funkmaster Flex,Do You,4:14,92
107,2000-08-05,Ghostface Killah,Cherchez LaGhost,3:04,98
108,2000-09-02,"Gill, Vince",Feels Like Love,4:13,82
109,2000-06-17,"Gilman, Billy",One Voice,4:07,86
110,1999-12-11,Ginuwine,None Of Ur Friends B...,4:12,94
111,2000-01-08,Ginuwine,The Best Man I Can B...,4:06,97
112,2000-04-22,Goo Goo Dolls,Broadway,3:54,74
