iso2,year,gender,age_group,cases
AD,1996,m,0-14,0.0
AD,1996,m,15-24,0.0
AD,1996,m,25-34,0.0
AD,1996,m,35-44,4.0
AD,1996,m,45-54,1.0
AD,1996,m,55-64,0.0
AD,1996,m,65+,0.0
AD,1996,f,0-14,0.0
AD,1996,f,15-24,1.0
AD,1996,f,25-34,1.0
AD,1996,f,35-44,0.0
AD,1996,f,45-54,0.0
AD,1996,f,55-64,1.0
AD,1996,f,65+,0.0
AD,1997,m,0-14,0.0
AD,1997,m,15-24,0.0
AD,1997,m,25-34,1.0
AD,1997,m,35-44,2.0
AD,1997,m,45-54,2.0
AD,1997,m,55-64,1.0
AD,1997,m,65+,6.0
AD,1997,f,0-14,0.0
AD,1997,f,15-24,1.0
AD,1997,f,25-34,2.0
AD,1997,f,35-44,3.0
AD,1997,f,45-54,0.0
AD,1997,f,55-64,0.0
AD,1997,f,65+,1.0
AD,1998,m,0-14,0.0
AD,1998,m,15-24,0.0
AD,1998,m,25-34,0.0
AD,1998,m,35-44,1.0
AD,1998,m,45-54,0.0
AD,1998,m,55-64,0.0
AD,1998,m,65+,0.0
AD,1999,m,0-14,0.0
AD,1999,m,15-24,0.0
AD,1999,m,25-34,0.0
AD,1999,m,35-44,1.0
AD,1999,m,45-54,1.0
AD,1999,m,55-64,0.0
AD,1999,m,65+,0.0
AD,1999,f,0-14,0.0
AD,1999,f,15-24,0.0
AD,1999,f,25-34,0.0
AD,1999,f,35-44,1.0
AD,1999,f,45-54,0.0
AD,1999,f,55-64,0.0
AD,1999,f,65+,0.0
AD,2000,m,0-14,0.0
AD,2000,m,15-24,0.0
AD,2000,m,25-34,1.0
AD,2000,m,35-44,0.0
AD,2000,m,45-54,0.0
AD,2000,m,55-64,0.0
AD,2000,m,65+,0.0
AD,2001,m,0-14,0.0
AD,2001,m,35-44,2.0
AD,2001,m,45-54,1.0
AD,2002,m,0-14,0.0
AD,2002,m,15-24,0.0
AD,2002,m,25-34,0.0
AD,2002,m,35-44,1.0
AD,2002,m,45-54,0.0
AD,2002,m,55-64,0.0
AD,2002,m,65+,0.0
AD,2002,f,0-14,0.0
AD,2002,f,15-24,1.0
AD,2002,f,25-34,0.0
AD,2002,f,35-44,0.0
AD,2002,f,45-54,0.0
AD,2002,f,55-64,0.0
AD,2002,f,65+,0.0
AD,2003,m,0-14,0.0
AD,2003,m,15-24,0.0
AD,2003,m,25-34,0.0
AD,2003,m,35-44,1.0
AD,2003,m,45-54,2.0
AD,2003,m,55-64,0.0
AD,2003,m,65+,0.0
AD,2003,f,0-14,0.0
AD,2003,f,15-24,1.0
AD,2003,f,25-34,1.0
AD,2003,f,35-44,1.0
AD,2003,f,45-54,0.0
AD,2003,f,55-64,0.0
AD,2003,f,65+,0.0
AD,2004,m,0-14,0.0
AD,2004,m,15-24,0.0
AD,2004,m,25-34,0.0
AD,2004,m,35-44,1.0
AD,2004,m,45-54,1.0
AD,2004,m,55-64,0.0
AD,2004,m,65+,0.0
AD,2004,f,0-14,0.0
AD,2004,f,15-24,0.0
AD,2004,f,25-34,1.0
AD,2004,f,35-44,0.0
AD,2004,f,45-54,0.0
AD,2004,f,55-64,0.0
AD,2004,f,65+,0.0
AD,2005,m,0-4,0.0
AD,2005,m,5-14,0.0
AD,2005,m,0-14,0.0
AD,2005,m,15-24,0.0
AD,2005,m,25-34,1.0
AD,2005,m,35-44,1.0
AD,2005,m,45-54,0.0
AD,2005,m,55-64,0.0
AD,2005,m,65+,0.0
AD,2005,m,unknown,0.0
AD,2005,f,0-4,0.0
AD,2005,f,5-14,0.0
AD,2005,f,0-14,0.0
AD,2005,f,15-24,1.0
AD,2005,f,25-34,1.0
AD,2005,f,35-44,1.0
AD,2005,f,45-54,0.0
AD,2005,f,55-64,0.0
AD,2005,f,65+,0.0
AD,2005,f,unknown,0.0
AD,2006,m,0-4,0.0
AD,2006,m,5-14,0.0
AD,2006,m,0-14,0.0
AD,2006,m,15-24,1.0
AD,2006,m,25-34,1.0
AD,2006,m,35-44,2.0
AD,2006,m,45-54,0.0
AD,2006,m,55-64,1.0
AD,2006,m,65+,1.0
AD,2006,m,unknown,0.0
AD,2006,f,0-4,0.0
AD,2006,f,5-14,0.0
AD,2006,f,0-14,0.0
AD,2006,f,15-24,0.0
AD,2006,f,25-34,1.0
AD,2006,f,35-44,0.0
AD,2006,f,45-54,1.0
AD,2006,f,55-64,0.0
AD,2006,f,65+,0.0
AD,2006,f,unknown,0.0
AD,2007,f,25-34,1.0
AD,2007,f,45-54,1.0
AD,2008,m,0-4,0.0
AD,2008,m,5-14,0.0
AD,2008,m,0-14,0.0
AD,2008,m,15-24,0.0
AD,2008,m,25-34,0.0
AD,2008,m,35-44,0.0
AD,2008,m,45-54,1.0
AD,2008,m,55-64,0.0
AD,2008,m,65+,0.0
AD,2008,m,unknown,0.0
AD,2008,f,0-4,0.0
AD,2008,f,5-14,0.0
AD,2008,f,0-14,0.0
AD,2008,f,15-24,0.0
AD,2008,f,25-34,0.0
AD,2008,f,35-44,1.0
AD,2008,f,45-54,1.0
AD,2008,f,55-64,0.0
AD,2008,f,65+,0.0
AD,2008,f,unknown,0.0
AE,1999,m,0-14,4.0
AE,1999,m,15-24,9.0
AE,1999,m,25-34,3.0
AE,1999,m,35-44,2.0
AE,1999,m,45-54,4.0
AE,1999,m,55-64,6.0
AE,1999,m,65+,5.0
AE,1999,f,0-14,9.0
AE,1999,f,15-24,11.0
AE,1999,f,25-34,5.0
AE,1999,f,35-44,3.0
AE,1999,f,45-54,0.0
AE,1999,f,55-64,3.0
AE,1999,f,65+,2.0
AE,2000,m,0-14,2.0
AE,2000,m,15-24,4.0
AE,2000,m,25-34,4.0
AE,2000,m,35-44,6.0
AE,2000,m,45-54,5.0
AE,2000,m,55-64,12.0
AE,2000,m,65+,10.0
AE,2000,f,0-14,3.0
AE,2000,f,15-24,16.0
AE,2000,f,25-34,1.0
AE,2000,f,35-44,3.0
AE,2000,f,45-54,0.0
AE,2000,f,55-64,0.0
AE,2000,f,65+,4.0
AE,2002,m,0-14,1.0
AE,2002,m,15-24,2.0
AE,2002,m,25-34,0.0
AE,2002,m,35-44,6.0
AE,2002,m,45-54,6.0
AE,2002,m,55-64,10.0
AE,2002,m,65+,0.0
AE,2002,f,0-14,3.0
AE,2002,f,15-24,3.0
AE,2002,f,25-34,8.0
AE,2002,f,35-44,3.0
AE,2002,f,45-54,4.0
AE,2002,f,55-64,10.0
AE,2002,f,65+,1.0
AE,2003,m,0-14,2.0
AE,2003,m,15-24,10.0
AE,2003,m,25-34,8.0
AE,2003,m,35-44,12.0
AE,2003,m,45-54,3.0
AE,2003,m,55-64,2.0
AE,2003,m,65+,10.0
AE,2003,f,0-14,4.0
AE,2003,f,15-24,9.0
AE,2003,f,25-34,5.0
AE,2003,f,35-44,3.0
AE,2003,f,45-54,3.0
AE,2003,f,55-64,2.0
AE,2003,f,65+,4.0
AE,2004,m,0-14,1.0
AE,2004,m,15-24,7.0
AE,2004,m,25-34,6.0
AE,2004,m,35-44,7.0
AE,2004,m,45-54,3.0
AE,2004,m,55-64,1.0
AE,2004,m,65+,7.0
AE,2004,f,0-14,3.0
AE,2004,f,15-24,6.0
AE,2004,f,25-34,2.0
AE,2004,f,35-44,7.0
AE,2004,f,45-54,2.0
AE,2004,f,55-64,2.0
AE,2004,f,65+,3.0
AE,2006,m,0-4,0.0
AE,2006,m,5-14,0.0
AE,2006,m,0-14,0.0
AE,2006,m,15-24,5.0
AE,2006,m,25-34,3.0
AE,2006,m,35-44,7.0
AE,2006,m,45-54,3.0
AE,2006,m,55-64,1.0
AE,2006,m,65+,4.0
AE,2006,f,0-4,0.0
AE,2006,f,5-14,2.0
AE,2006,f,0-14,2.0
AE,2006,f,15-24,6.0
AE,2006,f,25-34,4.0
AE,2006,f,35-44,5.0
AE,2006,f,45-54,3.0
AE,2006,f,55-64,4.0
AE,2006,f,65+,5.0
AE,2007,m,0-4,0.0
AE,2007,m,5-14,2.0
AE,2007,m,0-14,2.0
AE,2007,m,15-24,5.0
AE,2007,m,25-34,6.0
AE,2007,m,35-44,3.0
AE,2007,m,45-54,4.0
AE,2007,m,55-64,3.0
AE,2007,m,65+,10.0
AE,2007,f,0-4,0.0
AE,2007,f,5-14,1.0
AE,2007,f,0-14,1.0
AE,2007,f,15-24,8.0
AE,2007,f,25-34,6.0
AE,2007,f,35-44,3.0
AE,2007,f,45-54,2.0
AE,2007,f,55-64,0.0
AE,2007,f,65+,0.0
AE,2008,m,0-4,0.0
AE,2008,m,5-14,0.0
AE,2008,m,0-14,0.0
AE,2008,m,15-24,6.0
AE,2008,m,25-34,1.0
AE,2008,m,35-44,7.0
AE,2008,m,45-54,5.0
AE,2008,m,55-64,3.0
AE,2008,m,65+,6.0
AE,2008,m,unknown,0.0
AE,2008,f,0-4,0.0
AE,2008,f,5-14,0.0
AE,2008,f,0-14,0.0
AE,2008,f,15-24,10.0
AE,2008,f,25-34,4.0
AE,2008,f,35-44,1.0
AE,2008,f,45-54,1.0
AE,2008,f,55-64,3.0
AE,2008,f,65+,3.0
AE,2008,f,unknown,0.0
AF,1997,m,0-14,0.0
AF,1997,m,15-24,10.0
AF,1997,m,25-34,6.0
AF,1997,m,35-44,3.0
AF,1997,m,45-54,5.0
AF,1997,m,55-64,2.0
AF,1997,m,65+,0.0
AF,1997,f,0-14,5.0
AF,1997,f,15-24,38.0
AF,1997,f,25-34,36.0
AF,1997,f,35-44,14.0
AF,1997,f,45-54,8.0
AF,1997,f,55-64,0.0
AF,1997,f,65+,1.0
AF,1998,m,0-14,30.0
AF,1998,m,15-24,129.0
AF,1998,m,25-34,128.0
AF,1998,m,35-44,90.0
AF,1998,m,45-54,89.0
AF,1998,m,55-64,64.0
AF,1998,m,65+,41.0
AF,1998,f,0-14,45.0
AF,1998,f,15-24,350.0
AF,1998,f,25-34,419.0
AF,1998,f,35-44,194.0
AF,1998,f,45-54,118.0
AF,1998,f,55-64,61.0
AF,1998,f,65+,20.0
AF,1999,m,0-14,8.0
AF,1999,m,15-24,55.0
AF,1999,m,25-34,55.0
AF,1999,m,35-44,47.0
AF,1999,m,45-54,34.0
AF,1999,m,55-64,21.0
AF,1999,m,65+,8.0
AF,1999,f,0-14,25.0
AF,1999,f,15-24,139.0
AF,1999,f,25-34,160.0
AF,1999,f,35-44,110.0
AF,1999,f,45-54,50.0
AF,1999,f,55-64,25.0
AF,1999,f,65+,8.0
AF,2000,m,0-14,52.0
AF,2000,m,15-24,228.0
AF,2000,m,25-34,183.0
AF,2000,m,35-44,149.0
AF,2000,m,45-54,129.0
AF,2000,m,55-64,94.0
AF,2000,m,65+,80.0
AF,2000,f,0-14,93.0
AF,2000,f,15-24,414.0
AF,2000,f,25-34,565.0
AF,2000,f,35-44,339.0
AF,2000,f,45-54,205.0
AF,2000,f,55-64,99.0
AF,2000,f,65+,36.0
AF,2001,m,0-14,129.0
AF,2001,m,15-24,379.0
AF,2001,m,25-34,349.0
AF,2001,m,35-44,274.0
AF,2001,m,45-54,204.0
AF,2001,m,55-64,139.0
AF,2001,m,65+,103.0
AF,2001,f,0-14,146.0
AF,2001,f,15-24,799.0
AF,2001,f,25-34,888.0
AF,2001,f,35-44,586.0
AF,2001,f,45-54,375.0
AF,2001,f,55-64,179.0
AF,2001,f,65+,89.0
AF,2002,m,0-14,90.0
AF,2002,m,15-24,476.0
AF,2002,m,25-34,481.0
AF,2002,m,35-44,368.0
AF,2002,m,45-54,246.0
AF,2002,m,55-64,241.0
AF,2002,m,65+,189.0
AF,2002,f,0-14,192.0
AF,2002,f,15-24,1119.0
AF,2002,f,25-34,1251.0
AF,2002,f,35-44,792.0
AF,2002,f,45-54,526.0
AF,2002,f,55-64,320.0
AF,2002,f,65+,218.0
AF,2003,m,0-14,127.0
AF,2003,m,15-24,511.0
AF,2003,m,25-34,436.0
AF,2003,m,35-44,284.0
AF,2003,m,45-54,256.0
AF,2003,m,55-64,288.0
AF,2003,m,65+,203.0
AF,2003,f,0-14,245.0
AF,2003,f,15-24,1152.0
AF,2003,f,25-34,1287.0
AF,2003,f,35-44,814.0
AF,2003,f,45-54,462.0
AF,2003,f,55-64,305.0
AF,2003,f,65+,158.0
AF,2004,m,0-14,139.0
AF,2004,m,15-24,537.0
AF,2004,m,25-34,568.0
AF,2004,m,35-44,360.0
AF,2004,m,45-54,358.0
AF,2004,m,55-64,386.0
AF,2004,m,65+,310.0
AF,2004,f,0-14,256.0
AF,2004,f,15-24,1360.0
AF,2004,f,25-34,1561.0
AF,2004,f,35-44,1096.0
AF,2004,f,45-54,645.0
AF,2004,f,55-64,413.0
AF,2004,f,65+,256.0
AF,2005,m,0-14,151.0
AF,2005,m,15-24,606.0
AF,2005,m,25-34,560.0
AF,2005,m,35-44,472.0
AF,2005,m,45-54,453.0
AF,2005,m,55-64,470.0
AF,2005,m,65+,419.0
AF,2005,f,0-14,320.0
AF,2005,f,15-24,1651.0
AF,2005,f,25-34,1959.0
AF,2005,f,35-44,1302.0
AF,2005,f,45-54,869.0
AF,2005,f,55-64,471.0
AF,2005,f,65+,246.0
AF,2006,m,0-14,193.0
AF,2006,m,15-24,837.0
AF,2006,m,25-34,791.0
AF,2006,m,35-44,574.0
AF,2006,m,45-54,572.0
AF,2006,m,55-64,572.0
AF,2006,m,65+,410.0
AF,2006,f,0-14,442.0
AF,2006,f,15-24,2139.0
AF,2006,f,25-34,2340.0
AF,2006,f,35-44,1654.0
AF,2006,f,45-54,1006.0
AF,2006,f,55-64,630.0
AF,2006,f,65+,309.0
AF,2007,m,0-14,186.0
AF,2007,m,15-24,856.0
AF,2007,m,25-34,840.0
AF,2007,m,35-44,597.0
AF,2007,m,45-54,566.0
AF,2007,m,55-64,630.0
AF,2007,m,65+,507.0
AF,2007,f,0-14,475.0
AF,2007,f,15-24,2224.0
AF,2007,f,25-34,2357.0
AF,2007,f,35-44,1708.0
AF,2007,f,45-54,1143.0
AF,2007,f,55-64,771.0
AF,2007,f,65+,353.0
AF,2008,m,0-14,187.0
AF,2008,m,15-24,941.0
AF,2008,m,25-34,773.0
AF,2008,m,35-44,545.0
AF,2008,m,45-54,570.0
AF,2008,m,55-64,630.0
AF,2008,m,65+,575.0
AF,2008,f,0-14,428.0
AF,2008,f,15-24,2094.0
AF,2008,f,25-34,2449.0
AF,2008,f,35-44,1614.0
AF,2008,f,45-54,1149.0
AF,2008,f,55-64,817.0
AF,2008,f,65+,364.0
AG,1996,m,0-14,0.0
AG,1996,m,15-24,0.0
